ID_Lote,Fecha,ID_Producto,ID_Linea,ID_Turno,Leche_Usada_Litros,Azucar_Usada_Kg,Otros_Insumos_Kg,Produccion_Programada_Kg,Produccion_Real_Kg,Produccion_Conforme_Kg,Produccion_Defectuosa_Kg,Tiempo_Planificado_Horas,Tiempo_Operativo_Horas,Tiempo_Parada_Horas,Tiempo_Total_Horas,Consumo_Vapor_m3,Consumo_Energia_kWh,Costo_Materia_Prima_USD,Costo_Energia_USD,Costo_ManoObra_USD,Costo_Total_USD,Costo_Unitario_USD_Kg,Estado_Calidad,Nombre_Producto,Categoria_Producto,Presentacion_Kg,Rendimiento_Teorico_L_Kg,Nombre_Linea,Capacidad_Nominal_Kg_Hora,Nombre_Turno
LOT-202601-0022,2026-01-05,PROD005,LIN002,TUR003,2169.92,100.0,10.0,500,472.95,459.08,13.87,1.0,0.96,0.0,0.96,254.34,138.66,996.37,321.85,72.0,1390.22,2.94,Aprobado con Observaciones,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 2 - Marmitas 1000L,500,Noche (22:00 - 06:00)
LOT-202601-0023,2026-01-05,PROD002,LIN003,TUR003,2646.05,140.0,14.0,700,684.57,616.72,67.85,0.88,0.85,0.3,1.15,316.26,238.86,1230.34,408.18,126.5,1765.02,2.58,Rechazado / Reproceso,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 3 - Continua 2000L,800,Noche (22:00 - 06:00)
LOT-202601-0024,2026-01-05,PROD003,LIN003,TUR002,3915.84,200.0,20.0,1000,992.49,965.85,26.64,1.25,1.31,0.0,1.31,521.38,324.37,1814.65,664.58,144.1,2623.33,2.64,Aprobado con Observaciones,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0025,2026-01-05,PROD003,LIN003,TUR001,2584.61,140.0,14.0,700,667.83,651.57,16.26,0.88,0.89,0.0,0.89,357.38,199.83,1204.54,452.84,97.9,1755.28,2.63,Aprobado A1,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 3 - Continua 2000L,800,Mañana (06:00 - 14:00)
LOT-202601-0026,2026-01-06,PROD001,LIN002,TUR001,2280.96,120.0,12.0,600,592.23,577.6,14.63,1.2,1.25,0.0,1.25,306.01,171.83,1060.0,387.83,93.75,1541.58,2.6,Aprobado A1,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 2 - Marmitas 1000L,500,Mañana (06:00 - 14:00)
LOT-202601-0027,2026-01-06,PROD005,LIN002,TUR003,2672.41,120.0,12.0,600,592.54,584.79,7.75,1.2,1.19,0.0,1.19,278.48,214.5,1224.41,359.92,89.25,1673.58,2.82,Aprobado A1,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 2 - Marmitas 1000L,500,Noche (22:00 - 06:00)
LOT-202601-0028,2026-01-06,PROD004,LIN003,TUR002,3341.68,160.0,16.0,800,782.14,768.07,14.07,1.0,1.0,0.69,1.69,359.81,244.77,1539.51,461.14,185.9,2186.55,2.8,Aprobado A1,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0029,2026-01-06,PROD004,LIN003,TUR003,4164.9,200.0,20.0,1000,972.82,939.6,33.22,1.25,1.32,0.0,1.32,454.1,322.23,1919.26,583.59,145.2,2648.05,2.72,Aprobado con Observaciones,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 3 - Continua 2000L,800,Noche (22:00 - 06:00)
LOT-202601-0030,2026-01-06,PROD005,LIN003,TUR002,3092.14,140.0,14.0,700,691.91,646.79,45.12,0.88,0.89,0.6,1.49,367.33,232.52,1417.7,468.7,163.9,2050.3,2.96,Rechazado / Reproceso,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0031,2026-01-07,PROD004,LIN001,TUR002,803.87,40.0,4.0,200,196.93,177.31,19.62,0.8,0.81,0.91,1.72,91.38,61.04,371.63,116.98,77.4,566.01,2.87,Rechazado / Reproceso,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0032,2026-01-07,PROD001,LIN001,TUR002,779.84,40.0,4.0,200,196.71,186.98,9.73,0.8,0.77,0.0,0.77,102.19,64.52,361.53,130.37,34.65,526.55,2.68,Aprobado con Observaciones,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0033,2026-01-07,PROD003,LIN002,TUR003,1926.36,100.0,10.0,500,480.3,475.28,5.02,1.0,1.06,0.0,1.06,229.82,165.95,894.07,295.7,79.5,1269.27,2.64,Aprobado A1,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 2 - Marmitas 1000L,500,Noche (22:00 - 06:00)
LOT-202601-0034,2026-01-07,PROD004,LIN003,TUR002,3306.18,160.0,16.0,800,775.96,764.73,11.23,1.0,0.97,0.0,0.97,404.47,248.64,1524.6,515.2,106.7,2146.5,2.77,Aprobado A1,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0035,2026-01-08,PROD003,LIN001,TUR002,957.29,50.0,5.0,250,246.85,226.59,20.26,1.0,1.02,0.0,1.02,126.76,87.35,444.56,162.59,45.9,653.05,2.65,Rechazado / Reproceso,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0036,2026-01-08,PROD002,LIN001,TUR002,789.37,40.0,4.0,200,195.32,184.12,11.2,0.8,0.84,0.4,1.24,94.95,68.54,365.54,122.16,55.8,543.5,2.78,Rechazado / Reproceso,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0037,2026-01-08,PROD003,LIN002,TUR001,1845.58,100.0,10.0,500,488.45,463.55,24.9,1.0,1.05,0.0,1.05,225.48,147.6,860.14,288.29,78.75,1227.18,2.51,Rechazado / Reproceso,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 2 - Marmitas 1000L,500,Mañana (06:00 - 14:00)
LOT-202601-0038,2026-01-08,PROD002,LIN002,TUR002,2229.86,120.0,12.0,600,603.33,580.72,22.61,1.2,1.18,0.0,1.18,315.07,182.87,1038.54,400.03,88.5,1527.07,2.53,Aprobado con Observaciones,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 2 - Marmitas 1000L,500,Tarde (14:00 - 22:00)
LOT-202601-0039,2026-01-08,PROD001,LIN003,TUR002,3866.17,200.0,20.0,1000,1007.07,968.0,39.07,1.25,1.33,0.0,1.33,525.49,360.55,1793.79,673.85,146.3,2613.94,2.6,Aprobado con Observaciones,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0040,2026-01-08,PROD005,LIN003,TUR001,4406.57,200.0,20.0,1000,965.64,934.08,31.56,1.25,1.22,0.0,1.22,452.35,354.26,2020.76,585.33,134.2,2740.29,2.84,Aprobado con Observaciones,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 3 - Continua 2000L,800,Mañana (06:00 - 14:00)
LOT-202601-0041,2026-01-08,PROD004,LIN003,TUR003,2871.39,140.0,14.0,700,691.16,632.71,58.45,0.88,0.91,0.0,0.91,365.03,246.37,1324.98,467.6,100.1,1892.68,2.74,Rechazado / Reproceso,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 3 - Continua 2000L,800,Noche (22:00 - 06:00)
LOT-202601-0042,2026-01-09,PROD002,LIN001,TUR002,1154.5,60.0,6.0,300,290.31,288.55,1.76,1.2,1.24,0.0,1.24,153.99,100.47,535.89,196.84,55.8,788.53,2.72,Aprobado A1,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0043,2026-01-09,PROD003,LIN001,TUR003,764.68,40.0,4.0,200,190.77,186.99,3.78,0.8,0.79,0.0,0.79,94.59,55.59,355.17,120.18,35.55,510.9,2.68,Aprobado A1,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 1 - Marmitas 500L,250,Noche (22:00 - 06:00)
LOT-202601-0044,2026-01-09,PROD002,LIN002,TUR002,2304.42,120.0,12.0,600,583.97,562.29,21.68,1.2,1.25,0.0,1.25,280.37,174.99,1069.86,357.44,93.75,1521.05,2.6,Aprobado con Observaciones,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 2 - Marmitas 1000L,500,Tarde (14:00 - 22:00)
LOT-202601-0045,2026-01-09,PROD002,LIN002,TUR002,1553.44,80.0,8.0,400,402.39,380.61,21.78,0.8,0.78,0.0,0.78,204.31,148.26,720.44,262.96,58.5,1041.9,2.59,Rechazado / Reproceso,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 2 - Marmitas 1000L,500,Tarde (14:00 - 22:00)
LOT-202601-0046,2026-01-09,PROD002,LIN003,TUR002,2636.48,140.0,14.0,700,690.08,686.1,3.98,0.88,0.93,0.0,0.93,318.11,215.82,1226.32,407.63,102.3,1736.25,2.52,Aprobado A1,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0047,2026-01-09,PROD004,LIN003,TUR002,3223.93,160.0,16.0,800,750.05,743.31,6.74,1.0,1.06,0.0,1.06,390.89,253.9,1490.05,499.54,116.6,2106.19,2.81,Aprobado A1,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0048,2026-01-10,PROD005,LIN001,TUR002,1111.11,50.0,5.0,250,240.56,229.58,10.98,1.0,1.06,0.0,1.06,125.34,81.8,509.17,160.22,47.7,717.09,2.98,Aprobado con Observaciones,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0049,2026-01-10,PROD002,LIN002,TUR001,1533.13,80.0,8.0,400,380.26,368.22,12.04,0.8,0.85,0.42,1.27,182.02,118.32,711.91,232.62,95.25,1039.78,2.73,Aprobado con Observaciones,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 2 - Marmitas 1000L,500,Mañana (06:00 - 14:00)
LOT-202601-0050,2026-01-10,PROD002,LIN003,TUR002,2681.6,140.0,14.0,700,687.72,681.0,6.72,0.88,0.91,0.0,0.91,323.19,237.33,1245.27,416.31,100.1,1761.68,2.56,Aprobado A1,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0051,2026-01-10,PROD004,LIN003,TUR002,4131.97,200.0,20.0,1000,971.25,929.05,42.2,1.25,1.21,0.37,1.58,491.47,355.54,1905.43,632.43,173.8,2711.66,2.79,Aprobado con Observaciones,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0052,2026-01-10,PROD003,LIN003,TUR003,2722.29,140.0,14.0,700,666.69,637.37,29.32,0.88,0.86,0.0,0.86,358.36,218.41,1262.36,456.24,94.6,1813.2,2.72,Aprobado con Observaciones,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 3 - Continua 2000L,800,Noche (22:00 - 06:00)
LOT-202601-0053,2026-01-11,PROD001,LIN001,TUR001,948.87,50.0,5.0,250,243.63,231.46,12.17,1.0,0.96,0.39,1.35,119.95,80.68,441.03,153.62,60.75,655.4,2.69,Aprobado con Observaciones,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 1 - Marmitas 500L,250,Mañana (06:00 - 14:00)
LOT-202601-0054,2026-01-11,PROD001,LIN001,TUR003,1142.67,60.0,6.0,300,281.41,270.13,11.28,1.2,1.15,0.4,1.55,139.31,97.33,530.92,178.85,69.75,779.52,2.77,Aprobado con Observaciones,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 1 - Marmitas 500L,250,Noche (22:00 - 06:00)
LOT-202601-0055,2026-01-11,PROD005,LIN002,TUR001,2531.2,120.0,12.0,600,586.49,560.77,25.72,1.2,1.21,0.0,1.21,303.41,193.96,1165.1,387.37,90.75,1643.22,2.8,Aprobado con Observaciones,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 2 - Marmitas 1000L,500,Mañana (06:00 - 14:00)
LOT-202601-0056,2026-01-11,PROD003,LIN002,TUR002,1973.37,100.0,10.0,500,479.12,462.85,16.27,1.0,0.97,0.0,0.97,230.98,169.23,913.82,297.48,72.75,1284.05,2.68,Aprobado con Observaciones,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 2 - Marmitas 1000L,500,Tarde (14:00 - 22:00)
LOT-202601-0057,2026-01-11,PROD004,LIN002,TUR002,2432.21,120.0,12.0,600,554.35,519.06,35.29,1.2,1.22,0.0,1.22,276.48,175.5,1123.53,352.84,91.5,1567.87,2.83,Rechazado / Reproceso,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 2 - Marmitas 1000L,500,Tarde (14:00 - 22:00)
LOT-202601-0058,2026-01-11,PROD004,LIN003,TUR002,2980.94,140.0,14.0,700,670.5,650.03,20.47,0.88,0.85,0.0,0.85,328.88,247.46,1370.99,424.35,93.5,1888.84,2.82,Aprobado con Observaciones,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0059,2026-01-11,PROD002,LIN003,TUR002,2603.71,140.0,14.0,700,705.76,683.91,21.85,0.88,0.94,0.0,0.94,368.78,219.63,1212.56,468.89,103.4,1784.85,2.53,Aprobado con Observaciones,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0060,2026-01-12,PROD001,LIN001,TUR002,1174.38,60.0,6.0,300,290.32,283.83,6.49,1.2,1.19,0.21,1.4,140.22,89.48,544.24,179.0,63.0,786.24,2.71,Aprobado A1,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0061,2026-01-12,PROD001,LIN001,TUR002,777.65,40.0,4.0,200,197.12,194.73,2.39,0.8,0.85,0.0,0.85,96.33,63.96,360.61,123.27,38.25,522.13,2.65,Aprobado A1,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0062,2026-01-12,PROD005,LIN002,TUR003,1688.87,80.0,8.0,400,376.71,367.64,9.07,0.8,0.77,0.39,1.16,187.31,117.91,777.33,238.92,87.0,1103.25,2.93,Aprobado A1,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 2 - Marmitas 1000L,500,Noche (22:00 - 06:00)
LOT-202601-0063,2026-01-12,PROD005,LIN002,TUR001,1721.58,80.0,8.0,400,386.21,367.61,18.6,0.8,0.84,0.0,0.84,189.54,126.93,791.06,242.68,63.0,1096.74,2.84,Aprobado con Observaciones,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 2 - Marmitas 1000L,500,Mañana (06:00 - 14:00)
LOT-202601-0064,2026-01-12,PROD003,LIN003,TUR003,3160.04,160.0,16.0,800,769.67,753.77,15.9,1.0,0.97,0.73,1.7,409.65,270.97,1463.22,524.1,187.0,2174.32,2.83,Aprobado A1,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 3 - Continua 2000L,800,Noche (22:00 - 06:00)
LOT-202601-0065,2026-01-12,PROD002,LIN003,TUR003,2995.4,160.0,16.0,800,763.02,748.9,14.12,1.0,0.99,0.24,1.23,369.85,248.18,1394.07,473.6,135.3,2002.97,2.63,Aprobado A1,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 3 - Continua 2000L,800,Noche (22:00 - 06:00)
LOT-202601-0066,2026-01-12,PROD005,LIN003,TUR002,4210.55,200.0,20.0,1000,1000.99,971.58,29.41,1.25,1.28,0.0,1.28,500.64,312.11,1938.43,638.22,140.8,2717.45,2.71,Aprobado con Observaciones,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 3 - Continua 2000L,800,Tarde (14:00 - 22:00)
LOT-202601-0067,2026-01-13,PROD003,LIN001,TUR003,974.98,50.0,5.0,250,243.25,240.69,2.56,1.0,1.02,0.0,1.02,128.35,81.39,451.99,163.79,45.9,661.68,2.72,Aprobado A1,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 1 - Marmitas 500L,250,Noche (22:00 - 06:00)
LOT-202601-0068,2026-01-13,PROD001,LIN001,TUR002,751.27,40.0,4.0,200,189.45,183.48,5.97,0.8,0.82,0.0,0.82,97.37,62.09,349.53,124.29,36.9,510.72,2.7,Aprobado con Observaciones,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 1 - Marmitas 500L,250,Tarde (14:00 - 22:00)
LOT-202601-0069,2026-01-13,PROD003,LIN002,TUR003,1543.31,80.0,8.0,400,392.72,379.58,13.14,0.8,0.85,0.19,1.04,188.03,130.78,716.19,241.33,78.0,1035.52,2.64,Aprobado con Observaciones,Manjar Tradicional 1kg,Familiar,1.0,3.8,Línea 2 - Marmitas 1000L,500,Noche (22:00 - 06:00)
LOT-202601-0070,2026-01-13,PROD004,LIN002,TUR002,2084.71,100.0,10.0,500,493.97,478.22,15.75,1.0,1.07,0.0,1.07,241.87,160.77,960.58,309.54,80.25,1350.37,2.73,Aprobado con Observaciones,Manjar Repostero 1kg,Industrial/Repostería,1.0,4.1,Línea 2 - Marmitas 1000L,500,Tarde (14:00 - 22:00)
LOT-202601-0071,2026-01-13,PROD002,LIN002,TUR002,1578.77,80.0,8.0,400,386.78,384.54,2.24,0.8,0.85,0.0,0.85,184.48,131.95,731.08,237.21,63.75,1032.04,2.67,Aprobado A1,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 2 - Marmitas 1000L,500,Tarde (14:00 - 22:00)
LOT-202601-0072,2026-01-14,PROD002,LIN001,TUR001,1122.18,60.0,6.0,300,298.17,286.94,11.23,1.2,1.17,0.0,1.17,151.37,93.08,522.32,192.81,52.65,767.78,2.57,Aprobado con Observaciones,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 1 - Marmitas 500L,250,Mañana (06:00 - 14:00)
LOT-202601-0073,2026-01-14,PROD002,LIN001,TUR001,1125.8,60.0,6.0,300,285.71,284.28,1.43,1.2,1.22,0.2,1.42,134.02,84.31,523.84,170.94,63.9,758.68,2.66,Aprobado A1,Manjar Tradicional 500g,Familiar,0.5,3.8,Línea 1 - Marmitas 500L,250,Mañana (06:00 - 14:00)
LOT-202601-0074,2026-01-14,PROD005,LIN002,TUR003,1722.82,80.0,8.0,400,382.58,367.29,15.29,0.8,0.85,0.76,1.61,190.65,123.24,791.58,243.57,120.75,1155.9,3.02,Aprobado con Observaciones,Manjar Alfajorero 5kg,Industrial,5.0,4.3,Línea 2 - Marmitas 1000L,500,Noche (22:00 - 06:00)
LOT-202601-0075,2026-01-14,PROD001,LIN002,TUR002,2356.79,120.0,12.0,600,564.6,557.45,7.15,1.2,1.21,0.0,1.21,274.4,208.66,1091.85,354.32,90.75,1536.92,2.72,Aprobado A1,Manjar Tradicional 250g,Familiar,0.25,3.8,Línea 2 - Marmitas 1000L,500,Tarde (14:00 - 22:00)
